更新时间,#genre#
CCTV4,https://t.freetv.fun/live/cctv4-7.m3u8
CCTV4,https://t.freetv.fun/live/cctv4-9.m3u8
CCTV4,https://t.freetv.fun/live/cctv4-10.m3u8
CCTV4,https://t.freetv.fun/live/cctv4-4.m3u8
CCTV4,https://t.freetv.fun/live/cctv4-13.m3u8
CCTV4,https://t.freetv.fun/live/cctv4-17.m3u8
CCTV4,https://t.freetv.fun/live/cctv4-33.m3u8
CCTV4,https://t.freetv.fun/live/cctv4-5.m3u8
CCTV4,https://t.freetv.fun/live/cctv4-3.m3u8
CCTV4,https://t.freetv.fun/live/cctv4-15.m3u8
CCTV4,https://t.freetv.fun/live/cctv4-6.m3u8
CCTV4,https://t.freetv.fun/live/cctv4.m3u8
CCTV4,https://t.freetv.fun/live/cctv4-12.m3u8
CCTV4,https://t.freetv.fun/live/cctv4-14.m3u8
CCTV4,https://t.freetv.fun/live/cctv4-11.m3u8
CCTV4,https://t.freetv.fun/live/cctv4-1.m3u8
CCTV4,http://192.151.150.154/live/cctv4k.m3u8
CCTV4,http://173.208.212.130:8181/1080p/cctv4.m3u8
CCTV4,http://69.30.245.50/live/cctv4.m3u8
CCTV4,http://107.150.60.122/live/cctv4hd.m3u8
CCTV4,http://198.204.228.26/live/cctv4hd.m3u8
CCTV4,http://38.75.136.137:98/gslb/dsdqpub/cctv4k.m3u8?auth=testpub
CCTV4,https://t.freetv.fun/live/cctv4ou-zhou.m3u8
CCTV4,http://kkk.888.3116598.xyz/api.php?n=tttt&id=S8SfWs&tk=FgM0vQMejxvG
CCTV4,http://kkk.888.3116598.xyz/api.php?n=tttt&id=UqeuE0&tk=FgM0vQMejxvG
CCTV4,http://218.1.138.153:9003/hls/4/index.m3u8
CCTV4,http://223.247.25.235:1234/631780421
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5,https://t.freetv.fun/live/cctv5-9.m3u8
CCTV5,https://t.freetv.fun/live/cctv5-10.m3u8
CCTV5,https://t.freetv.fun/live/cctv5-14.m3u8
CCTV5,http://69.30.245.50/live/cctv5.m3u8
CCTV5,https://t.freetv.fun/live/cctv5-13.m3u8
CCTV5,https://t.freetv.fun/live/cctv5-16.m3u8
CCTV5,https://t.freetv.fun/live/cctv5-2.m3u8
CCTV5,https://t.freetv.fun/live/cctv5-6.m3u8
CCTV5,https://t.freetv.fun/live/cctv5-7.m3u8
CCTV5,https://t.freetv.fun/live/cctv5-19.m3u8
CCTV5,https://t.freetv.fun/live/cctv5.m3u8
CCTV5,https://t.freetv.fun/live/cctv5-15.m3u8
CCTV5,https://t.freetv.fun/live/cctv5-1.m3u8
CCTV5,https://t.freetv.fun/live/cctv5-12.m3u8
CCTV5,http://74.91.26.218:82/live/cctv5hd.m3u8
CCTV5,https://t.freetv.fun/live/cctv5-11.m3u8
CCTV5,https://t.freetv.fun/live/cctv5-8.m3u8
CCTV5,https://t.freetv.fun/live/cctv5-4.m3u8
CCTV5,https://t.freetv.fun/live/cctv5-18.m3u8
CCTV5,https://t.freetv.fun/live/cctv5-5.m3u8
CCTV5,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv5hd
CCTV5,http://173.208.212.130:8181/720p/cctv5.m3u8
CCTV5,http://107.150.60.122/live/cctv5hd.m3u8
CCTV5,http://198.204.228.26/live/cctv5hd.m3u8
CCTV5,http://173.208.212.130:8181/1080p/cctv5.m3u8
CCTV5,http://198.204.228.26/live/cctv5p.m3u8
CCTV5,http://38.75.136.137:98/gslb/dsdqpub/cctv5hd.m3u8?auth=testpub
CCTV5,http://kkk.888.3116598.xyz/api.php?n=tttt&id=Gd7JGa&tk=FgM0vQMejxvG
CCTV5,http://kkk.888.3116598.xyz/api.php?n=tttt&id=7saWCa&tk=FgM0vQMejxvG
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV5+,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv5p
CCTV5+,http://38.75.136.137:98/gslb/dsdqpub/cctv5p.m3u8?auth=testpub
CCTV5+,https://t.freetv.fun/live/cctv5-plus-6.m3u8
CCTV5+,https://t.freetv.fun/live/cctv5-plus-11.m3u8
CCTV5+,https://t.freetv.fun/live/cctv5-plus-2.m3u8
CCTV5+,http://kkk.888.3116598.xyz/api.php?n=tttt&id=hWGyoN&tk=FgM0vQMejxvG
CCTV5+,http://183.129.255.66:8480/hls/6/index.m3u8
CCTV5+,http://223.247.25.235:1234/641886773
CCTV5+,https://t.freetv.fun/live/cctv5-plus-8.m3u8
CCTV5+,https://t.freetv.fun/live/cctv5-plus.m3u8
CCTV5+,http://113.57.140.161:10081/newlive/live/hls/6/live.m3u8
CCTV5+,http://113.90.154.189:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://221.7.175.154:8445/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://182.37.41.46:8154/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://118.193.115.2:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://113.9.214.47:9003/hls/18/index.m3u8
CCTV5+,http://113.15.109.216:59901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://211.92.102.44:9901/tsfile/live/0016_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV5+,http://118.122.144.115:8888/newlive/live/hls/6/live.m3u8
CCTV5+,http://119.166.53.110:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://222.137.229.140:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://120.40.39.246:352/newlive/live/hls/6/live.m3u8
CCTV5+,http://47.104.178.59:3566/641886773
CCTV5+,https://t.freetv.fun/live/cctv5-plus-12.m3u8
CCTV5+,http://111.8.242.127:9999/tsfile/live/1052_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://111.8.242.142:9999/tsfile/live/1052_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://219.147.245.238:25480/newlive/live/hls/6/live.m3u8
CCTV5+,https://myip.pdtvhd.com/Sports/streams/CCTV5pul.m3u8
CCTV5+,http://223.112.114.228:50080/newlive/live/hls/180/live.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV6,https://t.freetv.fun/live/cctv6-4.m3u8
CCTV6,https://t.freetv.fun/live/cctv6-23.m3u8
CCTV6,https://t.freetv.fun/live/cctv6-15.m3u8
CCTV6,https://t.freetv.fun/live/cctv6-3.m3u8
CCTV6,https://t.freetv.fun/live/cctv6-16.m3u8
CCTV6,https://t.freetv.fun/live/cctv6-10.m3u8
CCTV6,https://t.freetv.fun/live/cctv6-11.m3u8
CCTV6,https://t.freetv.fun/live/cctv6-8.m3u8
CCTV6,https://t.freetv.fun/live/cctv6-2.m3u8
CCTV6,https://t.freetv.fun/live/cctv6-17.m3u8
